Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
3.0,0.0,0.33333333333333337,8700.0,183.66666666666666,0.0,AGRICOLA
5.0,0.0,0.0,9000.0,183.66666666666666,0.0,AGRICOLA
8.0,0.0,0.0,9600.0,183.66666666666666,0.0,AGRICOLA
9.0,0.0,0.29292929292929293,9900.0,183.66666666666666,0.0,AGRICOLA
11.0,0.0,0.0,8400.0,183.66666666666666,0.0,AGRICOLA
11.0,0.0,0.0,9300.0,183.66666666666666,0.0,AGRICOLA
1.0,0.0,0.7916666666666667,4800.0,184.58333333333334,0.0,AGRICOLA
1.0,0.0,0.8888888888888888,4500.0,184.58333333333334,0.0,AGRICOLA
4.0,93.0,1.4090909090909092,6600.0,184.58333333333334,0.0,AGRICOLA
5.0,0.0,0.6862745098039216,5100.0,184.58333333333334,0.0,AGRICOLA
5.0,4.0,0.05555555555555555,7200.0,184.58333333333334,0.0,AGRICOLA
6.0,201.0,3.35,6000.0,184.58333333333334,0.0,AGRICOLA
7.0,0.0,0.7037037037037037,5400.0,184.58333333333334,0.0,AGRICOLA
8.0,0.0,0.5614035087719298,5700.0,184.58333333333334,0.0,AGRICOLA
2.0,0.0,0.5128205128205128,7800.0,184.58333333333334,0.0,AGRICOLA
4.0,103.0,1.271604938271605,8100.0,184.58333333333334,0.0,AGRICOLA
5.0,25.0,0.2976190476190476,8400.0,184.58333333333334,0.0,AGRICOLA
8.0,0.0,0.24,7500.0,184.58333333333334,0.0,AGRICOLA
8.0,98.0,1.0888888888888888,9000.0,184.58333333333334,0.0,AGRICOLA
9.0,0.0,0.43010752688172044,9300.0,184.58333333333334,0.0,AGRICOLA
10.0,0.0,0.4166666666666667,9600.0,184.58333333333334,0.0,AGRICOLA
11.0,59.0,0.6781609195402298,8700.0,184.58333333333334,0.0,AGRICOLA
11.0,0.0,0.40404040404040403,9900.0,184.58333333333334,0.0,AGRICOLA
